Frame,Class_0,Class_0_total,Class_0_pos,Class_1,Class_1_total,Class_1_pos,Class_2,Class_2_total,Class_2_pos,Class_3,Class_3_total,Class_3_pos,Class_4,Class_4_total,Class_4_pos,Class_5,Class_5_total,Class_5_pos,FrameIndex
114,0.0611,131,123,0.0,65,65,0.1429,14,12,0.0,2,2,0.0,6,6,0.45,20,11,57
116,0.0611,131,123,0.0,65,65,0.1429,14,12,0.0,2,2,0.0,6,6,0.45,20,11,58
118,0.0611,131,123,0.0,65,65,0.1429,14,12,0.0,2,2,0.0,6,6,0.45,20,11,59
120,0.0611,131,123,0.0,65,65,0.1429,14,12,0.0,2,2,0.0,6,6,0.45,20,11,60
122,0.0687,131,122,0.0,65,65,0.1429,14,12,0.0,2,2,0.0,6,6,0.45,20,11,61
124,0.0763,131,121,0.0,65,65,0.1429,14,12,0.0,2,2,0.0,6,6,0.55,20,9,62
126,0.0763,131,121,0.0154,65,64,0.1429,14,12,0.0,2,2,0.0,6,6,0.55,20,9,63
128,0.0763,131,121,0.0154,65,64,0.1429,14,12,0.0,2,2,0.0,6,6,0.55,20,9,64
130,0.0763,131,121,0.0154,65,64,0.1429,14,12,0.0,2,2,0.0,6,6,0.55,20,9,65
132,0.0763,131,121,0.0154,65,64,0.1429,14,12,0.0,2,2,0.0,6,6,0.55,20,9,66
134,0.0763,131,121,0.0308,65,63,0.1429,14,12,0.0,2,2,0.0,6,6,0.55,20,9,67
136,0.0763,131,121,0.0462,65,62,0.1429,14,12,0.0,2,2,0.0,6,6,0.55,20,9,68
138,0.0916,131,119,0.0615,65,61,0.1429,14,12,0.0,2,2,0.0,6,6,0.55,20,9,69
140,0.0992,131,118,0.0615,65,61,0.1429,14,12,0.0,2,2,0.0,6,6,0.55,20,9,70
142,0.0992,131,118,0.0615,65,61,0.1429,14,12,0.0,2,2,0.0,6,6,0.6,20,8,71
144,0.0992,131,118,0.0615,65,61,0.1429,14,12,0.0,2,2,0.0,6,6,0.6,20,8,72
146,0.0992,131,118,0.0615,65,61,0.1429,14,12,0.0,2,2,0.0,6,6,0.6,20,8,73
