FrameIndex,Frame,Class_0,Class_0_pos,Class_0_total,Class_1,Class_1_pos,Class_1_total,Class_2,Class_2_pos,Class_2_total,Class_3,Class_3_pos,Class_3_total,Class_4,Class_4_pos,Class_4_total,Class_5,Class_5_pos,Class_5_total
39,78,0.007905138339920903,502,506,0.007633587786259555,260,262,0.01538461538461533,64,65,0.0,13,13,0.0,21,21,0.059523809523809534,79,84
40,80,0.007905138339920903,502,506,0.007633587786259555,260,262,0.01538461538461533,64,65,0.0,13,13,0.0,21,21,0.0714285714285714,78,84
41,82,0.00988142292490124,501,506,0.007633587786259555,260,262,0.01538461538461533,64,65,0.0,13,13,0.0,21,21,0.34523809523809523,55,84
42,84,0.00988142292490124,501,506,0.007633587786259555,260,262,0.01538461538461533,64,65,0.0,13,13,0.0,21,21,0.38095238095238093,52,84
43,86,0.00988142292490124,501,506,0.007633587786259555,260,262,0.01538461538461533,64,65,0.0,13,13,0.0,21,21,0.3928571428571429,51,84
44,88,0.00988142292490124,501,506,0.007633587786259555,260,262,0.01538461538461533,64,65,0.0,13,13,0.0,21,21,0.40476190476190477,50,84
45,90,0.00988142292490124,501,506,0.007633587786259555,260,262,0.01538461538461533,64,65,0.0,13,13,0.0,21,21,0.40476190476190477,50,84
46,92,0.00988142292490124,501,506,0.011450381679389277,259,262,0.01538461538461533,64,65,0.0,13,13,0.0,21,21,0.40476190476190477,50,84
47,94,0.00988142292490124,501,506,0.011450381679389277,259,262,0.01538461538461533,64,65,0.0,13,13,0.0,21,21,0.40476190476190477,50,84
48,96,0.011857707509881465,500,506,0.011450381679389277,259,262,0.01538461538461533,64,65,0.0,13,13,0.0,21,21,0.41666666666666663,49,84
49,98,0.013833992094861691,499,506,0.011450381679389277,259,262,0.01538461538461533,64,65,0.0,13,13,0.0,21,21,0.41666666666666663,49,84
50,100,0.013833992094861691,499,506,0.011450381679389277,259,262,0.01538461538461533,64,65,0.07692307692307687,12,13,0.0,21,21,0.4285714285714286,48,84
51,102,0.015810276679841917,498,506,0.011450381679389277,259,262,0.01538461538461533,64,65,0.07692307692307687,12,13,0.0,21,21,0.4285714285714286,48,84
52,104,0.01976284584980237,496,506,0.01526717557251911,258,262,0.03076923076923077,63,65,0.07692307692307687,12,13,0.0,21,21,0.44047619047619047,47,84
53,106,0.02371541501976282,494,506,0.01526717557251911,258,262,0.0461538461538461,62,65,0.07692307692307687,12,13,0.0,21,21,0.44047619047619047,47,84
54,108,0.025691699604743046,493,506,0.022900763358778664,256,262,0.0461538461538461,62,65,0.07692307692307687,12,13,0.0,21,21,0.44047619047619047,47,84
55,110,0.025691699604743046,493,506,0.022900763358778664,256,262,0.06153846153846154,61,65,0.07692307692307687,12,13,0.0,21,21,0.4642857142857143,45,84
56,112,0.029644268774703608,491,506,0.022900763358778664,256,262,0.06153846153846154,61,65,0.07692307692307687,12,13,0.0,21,21,0.47619047619047616,44,84
57,114,0.029644268774703608,491,506,0.022900763358778664,256,262,0.07692307692307687,60,65,0.07692307692307687,12,13,0.0,21,21,0.47619047619047616,44,84
58,116,0.035573122529644285,488,506,0.022900763358778664,256,262,0.07692307692307687,60,65,0.07692307692307687,12,13,0.0,21,21,0.47619047619047616,44,84
59,118,0.035573122529644285,488,506,0.022900763358778664,256,262,0.07692307692307687,60,65,0.07692307692307687,12,13,0.0,21,21,0.47619047619047616,44,84
60,120,0.035573122529644285,488,506,0.022900763358778664,256,262,0.07692307692307687,60,65,0.07692307692307687,12,13,0.0,21,21,0.48809523809523814,43,84
61,122,0.03754940711462451,487,506,0.022900763358778664,256,262,0.07692307692307687,60,65,0.07692307692307687,12,13,0.0,21,21,0.5,42,84
62,124,0.03952569169960474,486,506,0.022900763358778664,256,262,0.07692307692307687,60,65,0.07692307692307687,12,13,0.0,21,21,0.5357142857142857,39,84
63,126,0.04150197628458496,485,506,0.026717557251908386,255,262,0.07692307692307687,60,65,0.07692307692307687,12,13,0.0,21,21,0.5357142857142857,39,84
64,128,0.04743083003952564,482,506,0.026717557251908386,255,262,0.07692307692307687,60,65,0.07692307692307687,12,13,0.0,21,21,0.5357142857142857,39,84
65,130,0.04743083003952564,482,506,0.026717557251908386,255,262,0.07692307692307687,60,65,0.07692307692307687,12,13,0.0,21,21,0.5357142857142857,39,84
66,132,0.0513833992094862,480,506,0.03053435114503822,254,262,0.07692307692307687,60,65,0.07692307692307687,12,13,0.0,21,21,0.5357142857142857,39,84
67,134,0.0513833992094862,480,506,0.03435114503816794,253,262,0.07692307692307687,60,65,0.07692307692307687,12,13,0.0,21,21,0.5357142857142857,39,84
