FrameIndex,Frame,TotalCells,SickledCells,SemiSickledCells,FinalSickledCells,SickledFraction,SemiFraction,FinalFraction
0,0,238,0,0,0,0.0,0.0,0.0
1,2,238,0,0,0,0.0,0.0,0.0
2,4,238,0,0,0,0.0,0.0,0.0
3,6,238,0,0,0,0.0,0.0,0.0
4,8,238,0,0,0,0.0,0.0,0.0
5,10,238,0,0,0,0.0,0.0,0.0
6,12,238,0,0,0,0.0,0.0,0.0
7,14,238,0,0,0,0.0,0.0,0.0
8,16,238,0,0,0,0.0,0.0,0.0
9,18,238,0,0,0,0.0,0.0,0.0
10,20,238,0,0,0,0.0,0.0,0.0
11,22,238,0,0,0,0.0,0.0,0.0
12,24,238,0,0,0,0.0,0.0,0.0
13,26,238,0,0,0,0.0,0.0,0.0
14,28,238,0,0,0,0.0,0.0,0.0
15,30,238,0,0,0,0.0,0.0,0.0
16,32,238,0,0,0,0.0,0.0,0.0
17,34,238,0,0,0,0.0,0.0,0.0
18,36,238,0,0,0,0.0,0.0,0.0
19,38,238,0,0,0,0.0,0.0,0.0
20,40,238,0,0,0,0.0,0.0,0.0
21,42,238,0,0,0,0.0,0.0,0.0
22,44,238,0,0,0,0.0,0.0,0.0
23,46,238,0,0,0,0.0,0.0,0.0
24,48,238,0,0,0,0.0,0.0,0.0
25,50,238,0,0,0,0.0,0.0,0.0
26,52,238,0,0,0,0.0,0.0,0.0
27,54,238,0,0,0,0.0,0.0,0.0
28,56,238,0,0,0,0.0,0.0,0.0
29,58,238,0,0,0,0.0,0.0,0.0
30,60,238,1,0,1,0.004201680672268907,0.0,0.004201680672268907
31,62,238,1,0,1,0.004201680672268907,0.0,0.004201680672268907
32,64,238,1,0,1,0.004201680672268907,0.0,0.004201680672268907
33,66,238,1,0,1,0.004201680672268907,0.0,0.004201680672268907
34,68,238,1,0,1,0.004201680672268907,0.0,0.004201680672268907
35,70,238,1,0,1,0.004201680672268907,0.0,0.004201680672268907
36,72,238,1,0,1,0.004201680672268907,0.0,0.004201680672268907
37,74,238,1,0,1,0.004201680672268907,0.0,0.004201680672268907
38,76,238,1,0,1,0.004201680672268907,0.0,0.004201680672268907
39,78,238,1,0,1,0.004201680672268907,0.0,0.004201680672268907
40,80,238,1,0,1,0.004201680672268907,0.0,0.004201680672268907
41,82,238,1,0,1,0.004201680672268907,0.0,0.004201680672268907
42,84,238,1,0,1,0.004201680672268907,0.0,0.004201680672268907
43,86,238,2,0,2,0.008403361344537815,0.0,0.008403361344537815
44,88,238,2,0,2,0.008403361344537815,0.0,0.008403361344537815
45,90,238,3,0,3,0.012605042016806723,0.0,0.012605042016806723
46,92,238,3,0,3,0.012605042016806723,0.0,0.012605042016806723
47,94,238,3,0,3,0.012605042016806723,0.0,0.012605042016806723
48,96,238,3,0,3,0.012605042016806723,0.0,0.012605042016806723
49,98,238,5,0,5,0.02100840336134454,0.0,0.02100840336134454
50,100,238,5,0,5,0.02100840336134454,0.0,0.02100840336134454
51,102,238,6,0,6,0.025210084033613446,0.0,0.025210084033613446
52,104,238,9,0,9,0.037815126050420166,0.0,0.037815126050420166
53,106,238,9,0,9,0.037815126050420166,0.0,0.037815126050420166
