CellID,Subtype,PrevFrame,Frame,TimeSec,CombinedScore,ProbabilityScore,ShapeScore,TextureIntensityScore,RawTextureDelta,HistogramDelta,CombinedStable,ProbabilityStable,ShapeStable,TextureIntensityStable,ChangeThreshold
2.0,semi_sickled,376,377,94.25,0.007615827396512032,0.011661246418952942,0.006078660488128662,0.0032951906323432922,0.0014329105615615845,0.005157470703125,True,True,True,True,0.05
2.0,semi_sickled,377,378,94.5,0.026521410141140223,0.04321429133415222,0.021320311352610588,0.007094338536262512,0.009031206369400024,0.005157470703125,True,True,True,True,0.05
2.0,semi_sickled,378,379,94.75,0.026472284737974406,0.042943209409713745,0.020716002210974693,0.008177600800991058,0.012632057070732117,0.00372314453125,True,True,True,True,0.05
2.0,semi_sickled,379,380,95.0,0.02347224809927866,0.03812810778617859,0.018764857202768326,0.006613219855353236,0.007092406507581472,0.006134033203125,True,True,True,True,0.05
2.0,semi_sickled,380,381,95.25,0.047184372111223644,0.10617618262767792,0.007989608682692051,0.007670144084841013,0.009664018638432026,0.00567626953125,True,False,True,True,0.05
2.0,semi_sickled,381,382,95.5,0.022756859043147417,0.05081292986869812,0.0035835274029523134,0.004709810018539429,0.005452334880828857,0.00396728515625,True,False,True,True,0.05
2.0,semi_sickled,382,383,95.75,0.03057097581913695,0.0618261992931366,0.013547460548579693,0.004395539639517665,0.00573932146653533,0.0030517578125,True,False,True,True,0.05
2.0,semi_sickled,383,384,96.0,0.0015962122532073408,0.0009247362613677979,0.0,0.004905270994640887,0.0035544384736567736,0.006256103515625,True,True,True,True,0.05
2.0,semi_sickled,384,385,96.25,0.01139348520664498,0.01024414598941803,0.016615336760878563,0.005921835778281093,0.006899823900312185,0.00494384765625,True,True,True,True,0.05
2.0,semi_sickled,385,386,96.5,0.03867413143161684,0.08012227714061737,0.014536085538566113,0.0061503625474870205,0.008486027829349041,0.003814697265625,True,False,True,True,0.05
2.0,semi_sickled,386,387,96.75,0.009079681526054628,0.014466047286987305,0.0077304416336119175,0.0023504321579821408,0.0014354834565892816,0.003265380859375,True,True,True,True,0.05
2.0,semi_sickled,387,388,97.0,0.05251397296087817,0.12172733247280121,0.007573883980512619,0.004688722314313054,0.005684817675501108,0.003692626953125,False,False,True,True,0.05
2.0,semi_sickled,388,389,97.25,0.05110679764766246,0.10466504096984863,0.021391326561570168,0.007015267852693796,0.009636004455387592,0.00439453125,False,False,True,True,0.05
2.0,semi_sickled,389,390,97.5,0.013827933862921781,0.02791754901409149,0.006130613386631012,0.002060798287857324,0.0012834618100896478,0.002838134765625,True,True,True,True,0.05
2.0,semi_sickled,390,391,97.75,0.009293689415790141,0.016458868980407715,0.004958964418619871,0.003898017108440399,0.005690321326255798,0.002105712890625,True,True,True,True,0.05
2.0,semi_sickled,391,392,98.0,0.012541403295472264,0.021985769271850586,0.0061404029838740826,0.006391818169504404,0.008694280870258808,0.00408935546875,True,True,True,True,0.05
2.0,semi_sickled,392,393,98.25,0.016873625572770834,0.03448444604873657,0.006463790312409401,0.003270082175731659,0.004678592085838318,0.001861572265625,True,True,True,True,0.05
2.0,semi_sickled,393,394,98.5,0.040957950963638724,0.07722850143909454,0.024131879210472107,0.006481570657342672,0.008599127642810345,0.004364013671875,True,False,True,True,0.05
2.0,semi_sickled,394,395,98.75,0.017190189377288334,0.035418301820755005,0.007480382453650236,0.001618939160834998,0.0015288939466699958,0.001708984375,True,True,True,True,0.05
2.0,semi_sickled,395,396,99.0,0.030762499885167927,0.061914876103401184,0.014031021855771542,0.0043427671771496534,0.005053942557424307,0.003631591796875,True,False,True,True,0.05
2.0,semi_sickled,396,397,99.25,0.008398617128841579,0.004745297133922577,0.013164053671061993,0.007572317961603403,0.010139753110706806,0.0050048828125,True,True,True,True,0.05
2.0,semi_sickled,397,398,99.5,0.005156705214176327,0.00982094556093216,0.0012200610945001245,0.0032052224269136786,0.0027788530569523573,0.003631591796875,True,True,True,True,0.05
2.0,semi_sickled,398,399,99.75,0.013390785735100507,0.02690141648054123,0.005983876064419746,0.002143450081348419,0.0020896345376968384,0.002197265625,True,True,True,True,0.05
2.0,semi_sickled,399,400,100.0,0.02598133822903037,0.04497893154621124,0.014862553216516972,0.011151487939059734,0.01674877665936947,0.00555419921875,True,True,True,True,0.05
2.0,semi_sickled,400,401,100.25,0.022132582333870235,0.038127534091472626,0.014737606979906559,0.006893625017255545,0.00820253323763609,0.005584716796875,True,True,True,True,0.05
2.0,semi_sickled,401,402,100.5,0.005628852485097013,0.009549066424369812,0.0038169666659086943,0.0018931503291241825,0.001527999876998365,0.00225830078125,True,True,True,True,0.05
