Time_sec,Sickled_fraction_percent (%)
0.0,0.0
0.5,0.0
1.0,0.0
1.5,0.0
2.0,0.0
2.5,0.0
3.0,0.0
3.5,0.3937007874015741
4.0,1.5748031496062964
4.5,1.5748031496062964
5.0,1.5748031496062964
5.5,1.5748031496062964
6.0,1.5748031496062964
6.5,1.5748031496062964
7.0,1.5748031496062964
7.5,1.5748031496062964
8.0,1.5748031496062964
8.5,1.5748031496062964
9.0,1.5748031496062964
9.5,1.5748031496062964
10.0,2.3622047244094446
10.5,2.3622047244094446
11.0,2.3622047244094446
11.5,2.3622047244094446
12.0,2.3622047244094446
12.5,2.3622047244094446
13.0,2.3622047244094446
13.5,2.3622047244094446
14.0,2.3622047244094446
14.5,2.3622047244094446
15.0,2.3622047244094446
15.5,2.3622047244094446
16.0,2.3622047244094446
16.5,2.3622047244094446
17.0,2.3622047244094446
17.5,2.3622047244094446
18.0,2.3622047244094446
18.5,2.3622047244094446
19.0,2.3622047244094446
19.5,2.3622047244094446
20.0,2.3622047244094446
20.5,6.299212598425196
21.0,6.299212598425196
21.5,6.299212598425196
22.0,6.299212598425196
22.5,6.299212598425196
23.0,6.299212598425196
23.5,6.299212598425196
24.0,6.299212598425196
24.5,6.299212598425196
25.0,6.299212598425196
25.5,6.299212598425196
26.0,6.69291338582677
26.5,6.69291338582677
27.0,6.69291338582677
27.5,6.69291338582677
28.0,6.69291338582677
28.5,6.69291338582677
29.0,6.69291338582677
29.5,6.69291338582677
30.0,6.69291338582677
30.5,6.69291338582677
31.0,7.0866141732283445
31.5,7.0866141732283445
32.0,7.0866141732283445
32.5,7.0866141732283445
33.0,7.0866141732283445
33.5,7.0866141732283445
34.0,7.0866141732283445
34.5,7.0866141732283445
35.0,7.0866141732283445
35.5,7.0866141732283445
36.0,7.0866141732283445
36.5,7.874015748031493
37.0,7.874015748031493
37.5,7.874015748031493
38.0,7.874015748031493
38.5,8.267716535433067
39.0,9.842519685039374
39.5,9.842519685039374
40.0,10.236220472440948
40.5,10.629921259842522
41.0,10.629921259842522
41.5,11.023622047244096
42.0,11.41732283464567
42.5,11.41732283464567
43.0,11.41732283464567
43.5,11.41732283464567
44.0,11.811023622047244
44.5,11.811023622047244
45.0,12.204724409448819
45.5,12.598425196850393
46.0,12.598425196850393
46.5,12.598425196850393
47.0,13.38582677165354
47.5,13.779527559055115
48.0,13.779527559055115
48.5,13.779527559055115
49.0,15.354330708661411
49.5,16.535433070866144
50.0,17.322834645669293
50.5,18.11023622047244
51.0,18.503937007874015
51.5,18.89763779527559
52.0,19.291338582677163
52.5,19.685039370078737
53.0,20.86614173228346
53.5,21.259842519685034
54.0,22.047244094488192
54.5,22.047244094488192
55.0,22.44094488188977
55.5,23.22834645669292
56.0,23.22834645669292
56.5,23.22834645669292
57.0,23.22834645669292
57.5,24.015748031496067
58.0,24.803149606299215
58.5,25.590551181102363
59.0,25.984251968503933
59.5,26.77165354330708
60.0,27.16535433070866
60.5,27.55905511811023
61.0,27.952755905511808
61.5,28.740157480314966
62.0,29.92125984251969
62.5,30.314960629921263
63.0,31.496062992125985
63.5,31.496062992125985
64.0,32.28346456692913
64.5,32.28346456692913
65.0,32.28346456692913
65.5,32.677165354330704
66.0,33.46456692913385
66.5,34.251968503937
67.0,35.82677165354331
67.5,36.22047244094488
68.0,36.22047244094488
68.5,36.61417322834646
69.0,36.61417322834646
69.5,37.00787401574803
70.0,37.79527559055118
70.5,38.188976377952756
71.0,38.976377952755904
71.5,39.370078740157474
72.0,39.370078740157474
72.5,39.370078740157474
73.0,40.5511811023622
73.5,40.5511811023622
74.0,40.944881889763785
74.5,41.338582677165356
75.0,42.125984251968504
75.5,42.91338582677165
76.0,42.91338582677165
76.5,42.91338582677165
77.0,42.91338582677165
77.5,42.91338582677165
78.0,43.30708661417323
78.5,43.30708661417323
79.0,43.30708661417323
79.5,43.7007874015748
80.0,44.48818897637795
80.5,44.48818897637795
81.0,44.48818897637795
81.5,44.48818897637795
82.0,44.881889763779526
82.5,45.2755905511811
83.0,46.45669291338582
83.5,46.85039370078739
84.0,47.24409448818898
84.5,47.24409448818898
85.0,47.637795275590555
85.5,48.425196850393704
86.0,48.818897637795274
86.5,49.60629921259843
87.0,49.60629921259843
87.5,49.60629921259843
88.0,49.60629921259843
88.5,50.0
89.0,50.0
89.5,50.0
90.0,50.0
90.5,51.181102362204726
91.0,51.181102362204726
91.5,51.181102362204726
92.0,51.181102362204726
92.5,51.181102362204726
93.0,52.362204724409445
93.5,52.362204724409445
94.0,52.362204724409445
94.5,53.14960629921259
95.0,53.54330708661416
95.5,53.54330708661416
96.0,53.54330708661416
96.5,53.54330708661416
97.0,53.54330708661416
97.5,53.54330708661416
98.0,53.93700787401574
98.5,54.33070866141732
99.0,54.33070866141732
99.5,54.33070866141732
100.0,54.33070866141732
100.5,55.118110236220474
101.0,55.118110236220474
101.5,55.118110236220474
102.0,55.118110236220474
102.5,55.118110236220474
103.0,55.118110236220474
103.5,55.118110236220474
104.0,55.51181102362205
104.5,55.51181102362205
105.0,55.90551181102362
105.5,55.90551181102362
106.0,55.90551181102362
106.5,55.90551181102362
107.0,55.90551181102362
107.5,56.2992125984252
108.0,56.69291338582677
108.5,56.69291338582677
109.0,57.08661417322835
109.5,57.08661417322835
110.0,57.08661417322835
110.5,57.08661417322835
111.0,57.08661417322835
111.5,57.08661417322835
112.0,57.48031496062992
112.5,58.26771653543308
113.0,58.26771653543308
113.5,58.26771653543308
114.0,58.26771653543308
114.5,58.26771653543308
115.0,58.26771653543308
115.5,58.66141732283465
116.0,58.66141732283465
116.5,59.05511811023623
117.0,59.4488188976378
117.5,59.4488188976378
