FrameIndex,Frame,TotalCells,SickledCells,SemiSickledCells,FinalSickledCells,SickledFraction,SemiFraction,FinalFraction
0,0,238,0,0,0,0.0,0.0,0.0
1,1,238,0,0,0,0.0,0.0,0.0
2,2,238,0,0,0,0.0,0.0,0.0
3,3,238,0,0,0,0.0,0.0,0.0
4,4,238,0,0,0,0.0,0.0,0.0
5,5,238,0,0,0,0.0,0.0,0.0
6,6,238,0,0,0,0.0,0.0,0.0
7,7,238,0,0,0,0.0,0.0,0.0
8,8,238,0,0,0,0.0,0.0,0.0
9,9,238,0,0,0,0.0,0.0,0.0
10,10,238,0,0,0,0.0,0.0,0.0
11,11,238,0,0,0,0.0,0.0,0.0
12,12,238,0,0,0,0.0,0.0,0.0
13,13,238,0,0,0,0.0,0.0,0.0
14,14,238,0,0,0,0.0,0.0,0.0
15,15,238,0,0,0,0.0,0.0,0.0
16,16,238,0,0,0,0.0,0.0,0.0
17,17,238,0,0,0,0.0,0.0,0.0
18,18,238,0,0,0,0.0,0.0,0.0
19,19,238,0,0,0,0.0,0.0,0.0
20,20,238,0,0,0,0.0,0.0,0.0
21,21,238,0,0,0,0.0,0.0,0.0
22,22,238,0,0,0,0.0,0.0,0.0
23,23,238,0,0,0,0.0,0.0,0.0
24,24,238,0,0,0,0.0,0.0,0.0
25,25,238,0,0,0,0.0,0.0,0.0
26,26,238,0,0,0,0.0,0.0,0.0
27,27,238,0,0,0,0.0,0.0,0.0
28,28,238,0,0,0,0.0,0.0,0.0
29,29,238,0,0,0,0.0,0.0,0.0
30,30,238,0,0,0,0.0,0.0,0.0
31,31,238,0,0,0,0.0,0.0,0.0
32,32,238,0,0,0,0.0,0.0,0.0
33,33,238,0,0,0,0.0,0.0,0.0
34,34,238,0,0,0,0.0,0.0,0.0
35,35,238,0,0,0,0.0,0.0,0.0
36,36,238,0,0,0,0.0,0.0,0.0
37,37,238,0,0,0,0.0,0.0,0.0
38,38,238,0,0,0,0.0,0.0,0.0
39,39,238,0,0,0,0.0,0.0,0.0
40,40,238,0,0,0,0.0,0.0,0.0
41,41,238,0,0,0,0.0,0.0,0.0
42,42,238,0,0,0,0.0,0.0,0.0
43,43,238,0,0,0,0.0,0.0,0.0
44,44,238,0,0,0,0.0,0.0,0.0
45,45,238,0,0,0,0.0,0.0,0.0
46,46,238,0,0,0,0.0,0.0,0.0
47,47,238,0,0,0,0.0,0.0,0.0
48,48,238,0,0,0,0.0,0.0,0.0
49,49,238,0,0,0,0.0,0.0,0.0
50,50,238,0,0,0,0.0,0.0,0.0
51,51,238,0,0,0,0.0,0.0,0.0
52,52,238,0,0,0,0.0,0.0,0.0
53,53,238,0,0,0,0.0,0.0,0.0
54,54,238,0,0,0,0.0,0.0,0.0
55,55,238,1,0,1,0.004201680672268907,0.0,0.004201680672268907
56,56,238,1,0,1,0.004201680672268907,0.0,0.004201680672268907
57,57,238,1,0,1,0.004201680672268907,0.0,0.004201680672268907
58,58,238,1,0,1,0.004201680672268907,0.0,0.004201680672268907
59,59,238,1,0,1,0.004201680672268907,0.0,0.004201680672268907
60,60,238,1,0,1,0.004201680672268907,0.0,0.004201680672268907
61,61,238,1,0,1,0.004201680672268907,0.0,0.004201680672268907
62,62,238,1,0,1,0.004201680672268907,0.0,0.004201680672268907
63,63,238,1,0,1,0.004201680672268907,0.0,0.004201680672268907
64,64,238,1,0,1,0.004201680672268907,0.0,0.004201680672268907
65,65,238,1,0,1,0.004201680672268907,0.0,0.004201680672268907
66,66,238,1,0,1,0.004201680672268907,0.0,0.004201680672268907
67,67,238,1,0,1,0.004201680672268907,0.0,0.004201680672268907
68,68,238,1,0,1,0.004201680672268907,0.0,0.004201680672268907
69,69,238,1,0,1,0.004201680672268907,0.0,0.004201680672268907
70,70,238,1,0,1,0.004201680672268907,0.0,0.004201680672268907
71,71,238,1,0,1,0.004201680672268907,0.0,0.004201680672268907
72,72,238,1,0,1,0.004201680672268907,0.0,0.004201680672268907
73,73,238,1,0,1,0.004201680672268907,0.0,0.004201680672268907
74,74,238,1,0,1,0.004201680672268907,0.0,0.004201680672268907
75,75,238,1,0,1,0.004201680672268907,0.0,0.004201680672268907
76,76,238,1,0,1,0.004201680672268907,0.0,0.004201680672268907
77,77,238,1,0,1,0.004201680672268907,0.0,0.004201680672268907
78,78,238,1,0,1,0.004201680672268907,0.0,0.004201680672268907
79,79,238,1,0,1,0.004201680672268907,0.0,0.004201680672268907
80,80,238,1,0,1,0.004201680672268907,0.0,0.004201680672268907
81,81,238,2,0,2,0.008403361344537815,0.0,0.008403361344537815
82,82,238,2,0,2,0.008403361344537815,0.0,0.008403361344537815
83,83,238,2,0,2,0.008403361344537815,0.0,0.008403361344537815
84,84,238,2,0,2,0.008403361344537815,0.0,0.008403361344537815
85,85,238,2,0,2,0.008403361344537815,0.0,0.008403361344537815
86,86,238,3,0,3,0.012605042016806723,0.0,0.012605042016806723
87,87,238,3,0,3,0.012605042016806723,0.0,0.012605042016806723
88,88,238,3,0,3,0.012605042016806723,0.0,0.012605042016806723
89,89,238,3,0,3,0.012605042016806723,0.0,0.012605042016806723
90,90,238,3,0,3,0.012605042016806723,0.0,0.012605042016806723
91,91,238,3,0,3,0.012605042016806723,0.0,0.012605042016806723
92,92,238,3,0,3,0.012605042016806723,0.0,0.012605042016806723
93,93,238,4,0,4,0.01680672268907563,0.0,0.01680672268907563
94,94,238,5,0,5,0.02100840336134454,0.0,0.02100840336134454
95,95,238,5,0,5,0.02100840336134454,0.0,0.02100840336134454
96,96,238,5,0,5,0.02100840336134454,0.0,0.02100840336134454
97,97,238,5,0,5,0.02100840336134454,0.0,0.02100840336134454
98,98,238,6,0,6,0.025210084033613446,0.0,0.025210084033613446
99,99,238,7,0,7,0.029411764705882353,0.0,0.029411764705882353
100,100,238,9,0,9,0.037815126050420166,0.0,0.037815126050420166
101,101,238,9,0,9,0.037815126050420166,0.0,0.037815126050420166
102,102,238,9,0,9,0.037815126050420166,0.0,0.037815126050420166
103,103,238,10,0,10,0.04201680672268908,0.0,0.04201680672268908
104,104,238,12,0,12,0.05042016806722689,0.0,0.05042016806722689
105,105,238,12,0,12,0.05042016806722689,0.0,0.05042016806722689
106,106,238,12,0,12,0.05042016806722689,0.0,0.05042016806722689
107,107,238,14,0,14,0.058823529411764705,0.0,0.058823529411764705
108,108,238,14,0,14,0.058823529411764705,0.0,0.058823529411764705
109,109,238,15,1,14,0.06302521008403361,0.004201680672268907,0.058823529411764705
110,110,238,15,1,14,0.06302521008403361,0.004201680672268907,0.058823529411764705
111,111,238,15,1,14,0.06302521008403361,0.004201680672268907,0.058823529411764705
112,112,238,16,1,15,0.06722689075630252,0.004201680672268907,0.06302521008403361
113,113,238,16,1,15,0.06722689075630252,0.004201680672268907,0.06302521008403361
114,114,238,17,1,16,0.07142857142857142,0.004201680672268907,0.06722689075630252
115,115,238,17,1,16,0.07142857142857142,0.004201680672268907,0.06722689075630252
116,116,238,17,1,16,0.07142857142857142,0.004201680672268907,0.06722689075630252
117,117,238,18,1,17,0.07563025210084033,0.004201680672268907,0.07142857142857142
118,118,238,18,1,17,0.07563025210084033,0.004201680672268907,0.07142857142857142
119,119,238,18,1,17,0.07563025210084033,0.004201680672268907,0.07142857142857142
120,120,238,18,1,17,0.07563025210084033,0.004201680672268907,0.07142857142857142
121,121,238,20,2,18,0.08403361344537816,0.008403361344537815,0.07563025210084033
122,122,238,20,2,18,0.08403361344537816,0.008403361344537815,0.07563025210084033
123,123,238,20,2,18,0.08403361344537816,0.008403361344537815,0.07563025210084033
124,124,238,20,2,18,0.08403361344537816,0.008403361344537815,0.07563025210084033
125,125,238,21,2,19,0.08823529411764706,0.008403361344537815,0.07983193277310924
126,126,238,21,2,19,0.08823529411764706,0.008403361344537815,0.07983193277310924
127,127,238,21,2,19,0.08823529411764706,0.008403361344537815,0.07983193277310924
128,128,238,21,2,19,0.08823529411764706,0.008403361344537815,0.07983193277310924
129,129,238,21,2,19,0.08823529411764706,0.008403361344537815,0.07983193277310924
130,130,238,21,2,19,0.08823529411764706,0.008403361344537815,0.07983193277310924
131,131,238,22,2,20,0.09243697478991597,0.008403361344537815,0.08403361344537816
132,132,238,23,2,21,0.09663865546218488,0.008403361344537815,0.08823529411764706
133,133,238,24,2,22,0.10084033613445378,0.008403361344537815,0.09243697478991597
134,134,238,24,2,22,0.10084033613445378,0.008403361344537815,0.09243697478991597
135,135,238,25,2,23,0.10504201680672269,0.008403361344537815,0.09663865546218488
136,136,238,26,2,24,0.1092436974789916,0.008403361344537815,0.10084033613445378
137,137,238,26,2,24,0.1092436974789916,0.008403361344537815,0.10084033613445378
138,138,238,28,2,26,0.11764705882352941,0.008403361344537815,0.1092436974789916
139,139,238,28,2,26,0.11764705882352941,0.008403361344537815,0.1092436974789916
140,140,238,28,2,26,0.11764705882352941,0.008403361344537815,0.1092436974789916
141,141,238,28,2,26,0.11764705882352941,0.008403361344537815,0.1092436974789916
142,142,238,28,2,26,0.11764705882352941,0.008403361344537815,0.1092436974789916
143,143,238,30,2,28,0.12605042016806722,0.008403361344537815,0.11764705882352941
144,144,238,30,2,28,0.12605042016806722,0.008403361344537815,0.11764705882352941
145,145,238,31,2,29,0.13025210084033614,0.008403361344537815,0.12184873949579832
146,146,238,31,2,29,0.13025210084033614,0.008403361344537815,0.12184873949579832
