Video,CellID,Subtype,StartFrame,EndFrame,StartTimeSec,EndTimeSec,DurationSec,CompletionStatus,MeanChangeScore,StableFramesRequired,ChangeThreshold,MinDurationSec,EndpointSubtypeProb
V1,2.0,semi_sickled,376,377.0,94.0,94.25,0.25,completed,0.025670500254879394,6,0.05,0,0.8383928537368774
V1,4.0,final_sickled,174,175.0,43.5,43.75,0.25,completed,0.011337755160639063,6,0.05,0,0.9718335270881653
V1,5.0,semi_sickled,151,152.0,37.75,38.0,0.25,completed,0.008720934637434159,6,0.05,0,0.6817356944084167
V1,6.0,semi_sickled,109,114.0,27.25,28.5,1.25,completed,0.03036677264957688,6,0.05,0,0.7304282784461975
V1,7.0,semi_sickled,473,474.0,118.25,118.5,0.25,completed,0.012804043671050562,6,0.05,0,0.9418861269950867
V1,9.0,semi_sickled,236,237.0,59.0,59.25,0.25,completed,0.012907119179241514,6,0.05,0,0.640991747379303
V1,11.0,semi_sickled,228,229.0,57.0,57.25,0.25,completed,0.020706977873730163,6,0.05,0,0.5067051649093628
V1,12.0,final_sickled,213,214.0,53.25,53.5,0.25,completed,0.0169061612978112,6,0.05,0,0.9001150131225586
V1,13.0,semi_sickled,370,374.0,92.5,93.5,1.0,completed,0.02727772268796495,6,0.05,0,0.7255265116691589
V1,14.0,semi_sickled,323,324.0,80.75,81.0,0.25,completed,0.011198974083041928,6,0.05,0,0.6643306016921997
V1,15.0,final_sickled,55,56.0,13.75,14.0,0.25,completed,0.018052161044518775,6,0.05,0,0.8663363456726074
V1,19.0,semi_sickled,320,321.0,80.0,80.25,0.25,completed,0.02373862496072737,6,0.05,0,0.6512542366981506
V1,21.0,final_sickled,193,197.0,48.25,49.25,1.0,completed,0.018085085993740133,6,0.05,0,0.5768303275108337
V1,23.0,final_sickled,103,104.0,25.75,26.0,0.25,completed,0.009464441195693021,6,0.05,0,0.8515459895133972
V1,25.0,semi_sickled,188,189.0,47.0,47.25,0.25,completed,0.026203072412075323,6,0.05,0,0.5270358920097351
V1,27.0,final_sickled,284,285.0,71.0,71.25,0.25,completed,0.010451715416274966,6,0.05,0,0.9332660436630249
V1,28.0,final_sickled,155,156.0,38.75,39.0,0.25,completed,0.015141524288143651,6,0.05,0,0.6946551203727722
V1,30.0,final_sickled,478,,119.5,,,not_completed,0.01788091730559245,6,0.05,0,0.8505121469497681
V1,31.0,final_sickled,215,216.0,53.75,54.0,0.25,completed,0.010009618075855542,6,0.05,0,0.6622825860977173
V1,33.0,semi_sickled,234,240.0,58.5,60.0,1.5,completed,0.023307094696528193,6,0.05,0,0.5951128602027893
V1,34.0,final_sickled,177,178.0,44.25,44.5,0.25,completed,0.015782523616508115,6,0.05,0,0.8477322459220886
V1,35.0,final_sickled,143,144.0,35.75,36.0,0.25,completed,0.008360953033358478,6,0.05,0,0.9140472412109375
V1,36.0,final_sickled,266,267.0,66.5,66.75,0.25,completed,0.009088630619226023,6,0.05,0,0.7566503286361694
V1,37.0,final_sickled,138,139.0,34.5,34.75,0.25,completed,0.016686547803692522,6,0.05,0,0.806889533996582
V1,38.0,semi_sickled,370,381.0,92.5,95.25,2.75,completed,0.021321629935118838,6,0.05,0,0.8561767339706421
V1,39.0,final_sickled,149,150.0,37.25,37.5,0.25,completed,0.01968394706816199,6,0.05,0,0.6597968339920044
V1,41.0,semi_sickled,285,286.0,71.25,71.5,0.25,completed,0.023427187632963375,6,0.05,0,0.8666437864303589
V1,42.0,final_sickled,237,238.0,59.25,59.5,0.25,completed,0.014329494444731002,6,0.05,0,0.5483647584915161
V1,44.0,final_sickled,190,191.0,47.5,47.75,0.25,completed,0.013443470687343508,6,0.05,0,0.8340429067611694
V1,45.0,final_sickled,287,288.0,71.75,72.0,0.25,completed,0.010694266534604443,6,0.05,0,0.7053924798965454
V1,48.0,semi_sickled,183,184.0,45.75,46.0,0.25,completed,0.014853895505560407,6,0.05,0,0.7557913661003113
V1,51.0,final_sickled,94,95.0,23.5,23.75,0.25,completed,0.01494671457427709,6,0.05,0,0.9559585452079773
V1,52.0,final_sickled,199,205.0,49.75,51.25,1.5,completed,0.023245456572410395,6,0.05,0,0.6990560293197632
V1,53.0,final_sickled,100,101.0,25.0,25.25,0.25,completed,0.005371965790012231,6,0.05,0,0.9170433282852173
V1,54.0,semi_sickled,306,307.0,76.5,76.75,0.25,completed,0.0157884124336609,6,0.05,0,0.5780118107795715
V1,55.0,semi_sickled,225,226.0,56.25,56.5,0.25,completed,0.015386114726425149,6,0.05,0,0.7992895245552063
V1,57.0,final_sickled,104,105.0,26.0,26.25,0.25,completed,0.006807065020014609,6,0.05,0,0.9695640802383423
V1,59.0,semi_sickled,223,224.0,55.75,56.0,0.25,completed,0.014207993822249895,6,0.05,0,0.7744695544242859
V1,62.0,final_sickled,194,195.0,48.5,48.75,0.25,completed,0.016567073522795305,6,0.05,0,0.7942022085189819
V1,64.0,final_sickled,155,156.0,38.75,39.0,0.25,completed,0.017665783004486003,6,0.05,0,0.6508640050888062
V1,66.0,final_sickled,131,132.0,32.75,33.0,0.25,completed,0.008017069573543268,6,0.05,0,0.9426838755607605
V1,67.0,final_sickled,211,212.0,52.75,53.0,0.25,completed,0.018484615989533874,6,0.05,0,0.6755694150924683
V1,76.0,semi_sickled,175,180.0,43.75,45.0,1.25,completed,0.023742803289787846,6,0.05,0,0.6030024290084839
V1,78.0,final_sickled,125,126.0,31.25,31.5,0.25,completed,0.018184708498059383,6,0.05,0,0.940570056438446
V1,80.0,semi_sickled,300,301.0,75.0,75.25,0.25,completed,0.007371940557398677,6,0.05,0,0.5505404472351074
V1,82.0,final_sickled,135,136.0,33.75,34.0,0.25,completed,0.020535344589249386,6,0.05,0,0.928624153137207
V1,84.0,semi_sickled,183,184.0,45.75,46.0,0.25,completed,0.012986174631805623,6,0.05,0,0.7977811098098755
V1,85.0,semi_sickled,215,216.0,53.75,54.0,0.25,completed,0.02924542369437404,6,0.05,0,0.7200735211372375
V1,87.0,semi_sickled,218,219.0,54.5,54.75,0.25,completed,0.024400188034633175,6,0.05,0,0.5040217638015747
V1,88.0,final_sickled,145,146.0,36.25,36.5,0.25,completed,0.015536984079598271,6,0.05,0,0.758594274520874
V1,91.0,semi_sickled,334,335.0,83.5,83.75,0.25,completed,0.012561176389378184,6,0.05,0,0.5678059458732605
V1,92.0,semi_sickled,174,176.0,43.5,44.0,0.5,completed,0.023426257091757312,6,0.05,0,0.6933088898658752
V1,93.0,final_sickled,81,82.0,20.25,20.5,0.25,completed,0.006612122690178998,6,0.05,0,0.9815017580986023
V1,98.0,final_sickled,172,173.0,43.0,43.25,0.25,completed,0.02051608402398415,6,0.05,0,0.7553456425666809
V1,99.0,semi_sickled,301,302.0,75.25,75.5,0.25,completed,0.017185055156975677,6,0.05,0,0.687125563621521
V1,100.0,semi_sickled,186,187.0,46.5,46.75,0.25,completed,0.017666018145973798,6,0.05,0,0.5049704313278198
V1,102.0,semi_sickled,300,301.0,75.0,75.25,0.25,completed,0.012184027111410008,6,0.05,0,0.7661033868789673
V1,104.0,semi_sickled,185,186.0,46.25,46.5,0.25,completed,0.017400817622547037,6,0.05,0,0.8567191958427429
V1,107.0,final_sickled,149,151.0,37.25,37.75,0.5,completed,0.02689693383955663,6,0.05,0,0.6614300012588501
V1,109.0,semi_sickled,216,217.0,54.0,54.25,0.25,completed,0.008816226671721475,6,0.05,0,0.5150554180145264
V1,110.0,semi_sickled,382,383.0,95.5,95.75,0.25,completed,0.014058242299749205,6,0.05,0,0.7816067934036255
V1,113.0,semi_sickled,203,204.0,50.75,51.0,0.25,completed,0.01555929113237653,6,0.05,0,0.6781724095344543
V1,114.0,final_sickled,143,154.0,35.75,38.5,2.75,completed,0.03371397498722217,6,0.05,0,0.7740210294723511
V1,116.0,final_sickled,172,173.0,43.0,43.25,0.25,completed,0.02414159569998446,6,0.05,0,0.5116389393806458
V1,118.0,final_sickled,121,122.0,30.25,30.5,0.25,completed,0.030365699005293817,6,0.05,0,0.7331511378288269
V1,120.0,final_sickled,280,281.0,70.0,70.25,0.25,completed,0.006564765298632362,6,0.05,0,0.6510430574417114
V1,121.0,final_sickled,193,194.0,48.25,48.5,0.25,completed,0.021702546332380737,6,0.05,0,0.681361973285675
V1,122.0,final_sickled,222,226.0,55.5,56.5,1.0,completed,0.023324969689646324,6,0.05,0,0.5286591053009033
V1,124.0,final_sickled,180,181.0,45.0,45.25,0.25,completed,0.015572880103961023,6,0.05,0,0.7001221179962158
V1,125.0,semi_sickled,324,325.0,81.0,81.25,0.25,completed,0.013531912032825251,6,0.05,0,0.5507200360298157
V1,126.0,semi_sickled,423,424.0,105.75,106.0,0.25,completed,0.024043012407734446,6,0.05,0,0.8563207387924194
V1,127.0,final_sickled,272,273.0,68.0,68.25,0.25,completed,0.017704007009160704,6,0.05,0,0.7314690947532654
V1,128.0,final_sickled,289,290.0,72.25,72.5,0.25,completed,0.01615369724944079,6,0.05,0,0.6341887712478638
V1,131.0,semi_sickled,405,411.0,101.25,102.75,1.5,completed,0.025374814443586566,6,0.05,0,0.8080894351005554
V1,132.0,final_sickled,242,243.0,60.5,60.75,0.25,completed,0.015767454128945247,6,0.05,0,0.8590661883354187
V1,133.0,final_sickled,152,159.0,38.0,39.75,1.75,completed,0.024746092589096713,6,0.05,0,0.5242940783500671
V1,134.0,final_sickled,195,203.0,48.75,50.75,2.0,completed,0.042579371150350195,6,0.05,0,0.9480803608894348
V1,135.0,final_sickled,104,105.0,26.0,26.25,0.25,completed,0.007431409853112805,6,0.05,0,0.9483075141906738
V1,138.0,final_sickled,307,308.0,76.75,77.0,0.25,completed,0.01256262020857927,6,0.05,0,0.7671829462051392
V1,139.0,semi_sickled,256,257.0,64.0,64.25,0.25,completed,0.026142441883954842,6,0.05,0,0.7134935259819031
V1,140.0,final_sickled,165,166.0,41.25,41.5,0.25,completed,0.01179801963104789,6,0.05,0,0.717703104019165
V1,141.0,final_sickled,99,101.0,24.75,25.25,0.5,completed,0.022588579394921128,6,0.05,0,0.9513785243034363
V1,143.0,semi_sickled,219,220.0,54.75,55.0,0.25,completed,0.022172206069808454,6,0.05,0,0.5861836671829224
V1,145.0,final_sickled,153,154.0,38.25,38.5,0.25,completed,0.011156727523969796,6,0.05,0,0.8561508059501648
V1,148.0,final_sickled,100,101.0,25.0,25.25,0.25,completed,0.008561963103905631,6,0.05,0,0.9202272295951843
V1,149.0,semi_sickled,156,157.0,39.0,39.25,0.25,completed,0.019091383989386184,6,0.05,0,0.5464985966682434
V1,151.0,semi_sickled,180,181.0,45.0,45.25,0.25,completed,0.022709327819757163,6,0.05,0,0.5994870662689209
V1,152.0,semi_sickled,325,326.0,81.25,81.5,0.25,completed,0.012920863696490417,6,0.05,0,0.6997112035751343
V1,153.0,semi_sickled,188,189.0,47.0,47.25,0.25,completed,0.019414873200973185,6,0.05,0,0.8184589147567749
V1,155.0,final_sickled,133,134.0,33.25,33.5,0.25,completed,0.014849582679711181,6,0.05,0,0.7189416885375977
V1,156.0,final_sickled,136,137.0,34.0,34.25,0.25,completed,0.016000686114421115,6,0.05,0,0.872340202331543
V1,159.0,final_sickled,269,291.0,67.25,72.75,5.5,completed,0.030016971857198597,6,0.05,0,0.5773954391479492
V1,161.0,semi_sickled,209,220.0,52.25,55.0,2.75,completed,0.027786142868990282,6,0.05,0,0.7583193182945251
V1,162.0,final_sickled,93,94.0,23.25,23.5,0.25,completed,0.012096022646680164,6,0.05,0,0.9659676551818848
V1,163.0,semi_sickled,170,176.0,42.5,44.0,1.5,completed,0.0317885967140848,6,0.05,0,0.6554588079452515
V1,164.0,final_sickled,256,257.0,64.0,64.25,0.25,completed,0.020741249583079477,6,0.05,0,0.5615451335906982
V1,165.0,final_sickled,112,113.0,28.0,28.25,0.25,completed,0.011074096452405988,6,0.05,0,0.8591253161430359
V1,166.0,final_sickled,151,152.0,37.75,38.0,0.25,completed,0.029272040008800102,6,0.05,0,0.8327919840812683
V1,168.0,semi_sickled,184,185.0,46.0,46.25,0.25,completed,0.011850064391425502,6,0.05,0,0.6335719227790833
V1,169.0,semi_sickled,318,319.0,79.5,79.75,0.25,completed,0.007908550503392084,6,0.05,0,0.7274079322814941
V1,170.0,final_sickled,387,388.0,96.75,97.0,0.25,completed,0.024483657044280942,6,0.05,0,0.5093469619750977
V1,171.0,semi_sickled,252,253.0,63.0,63.25,0.25,completed,0.012379424029495566,6,0.05,0,0.7238272428512573
V1,173.0,semi_sickled,259,260.0,64.75,65.0,0.25,completed,0.016788731182168705,6,0.05,0,0.6809583902359009
V1,174.0,final_sickled,114,119.0,28.5,29.75,1.25,completed,0.015195434130437205,6,0.05,0,0.9147475957870483
V1,176.0,semi_sickled,422,423.0,105.5,105.75,0.25,completed,0.01590270970724911,6,0.05,0,0.502086877822876
V1,177.0,semi_sickled,317,318.0,79.25,79.5,0.25,completed,0.010160655618043772,6,0.05,0,0.7785280346870422
V1,178.0,semi_sickled,200,206.0,50.0,51.5,1.5,completed,0.0289419327523898,6,0.05,0,0.6099510192871094
V1,180.0,semi_sickled,374,375.0,93.5,93.75,0.25,completed,0.013771694083698096,6,0.05,0,0.9200824499130249
