Frame,Class_0,Class_0_total,Class_0_pos,Class_1,Class_1_total,Class_1_pos,Class_2,Class_2_total,Class_2_pos,Class_3,Class_3_total,Class_3_pos,Class_4,Class_4_total,Class_4_pos,Class_5,Class_5_total,Class_5_pos,Class_6,Class_6_total,Class_6_pos,FrameIndex
96,0.0132,76,75,0.0156,64,63,0.0435,46,44,0.0,9,9,0.0,4,4,0.0,6,6,0.3889,18,11,48
98,0.0132,76,75,0.0156,64,63,0.0435,46,44,0.0,9,9,0.0,4,4,0.0,6,6,0.3889,18,11,49
100,0.0132,76,75,0.0156,64,63,0.0435,46,44,0.0,9,9,0.0,4,4,0.0,6,6,0.3889,18,11,50
102,0.0132,76,75,0.0156,64,63,0.0435,46,44,0.0,9,9,0.0,4,4,0.0,6,6,0.3889,18,11,51
104,0.0132,76,75,0.0156,64,63,0.0435,46,44,0.0,9,9,0.0,4,4,0.0,6,6,0.4444,18,10,52
106,0.0132,76,75,0.0156,64,63,0.0435,46,44,0.0,9,9,0.0,4,4,0.0,6,6,0.4444,18,10,53
108,0.0132,76,75,0.0156,64,63,0.0652,46,43,0.0,9,9,0.0,4,4,0.0,6,6,0.4444,18,10,54
110,0.0132,76,75,0.0156,64,63,0.0652,46,43,0.0,9,9,0.0,4,4,0.0,6,6,0.4444,18,10,55
112,0.0132,76,75,0.0156,64,63,0.0652,46,43,0.0,9,9,0.0,4,4,0.0,6,6,0.4444,18,10,56
114,0.0132,76,75,0.0156,64,63,0.0652,46,43,0.0,9,9,0.0,4,4,0.0,6,6,0.4444,18,10,57
116,0.0395,76,73,0.0156,64,63,0.0652,46,43,0.0,9,9,0.0,4,4,0.0,6,6,0.4444,18,10,58
118,0.0395,76,73,0.0156,64,63,0.0652,46,43,0.0,9,9,0.0,4,4,0.0,6,6,0.4444,18,10,59
120,0.0395,76,73,0.0156,64,63,0.0652,46,43,0.0,9,9,0.0,4,4,0.0,6,6,0.5,18,9,60
122,0.0395,76,73,0.0156,64,63,0.0652,46,43,0.0,9,9,0.0,4,4,0.0,6,6,0.5,18,9,61
124,0.0395,76,73,0.0156,64,63,0.0652,46,43,0.0,9,9,0.0,4,4,0.0,6,6,0.5,18,9,62
126,0.0526,76,72,0.0156,64,63,0.0652,46,43,0.0,9,9,0.0,4,4,0.0,6,6,0.5,18,9,63
128,0.0658,76,71,0.0156,64,63,0.0652,46,43,0.0,9,9,0.0,4,4,0.0,6,6,0.5,18,9,64
130,0.0658,76,71,0.0156,64,63,0.0652,46,43,0.0,9,9,0.0,4,4,0.0,6,6,0.5,18,9,65
132,0.0789,76,70,0.0312,64,62,0.0652,46,43,0.0,9,9,0.0,4,4,0.0,6,6,0.5,18,9,66
134,0.0789,76,70,0.0312,64,62,0.0652,46,43,0.0,9,9,0.0,4,4,0.0,6,6,0.5,18,9,67
136,0.0921,76,69,0.0312,64,62,0.0652,46,43,0.0,9,9,0.0,4,4,0.0,6,6,0.5,18,9,68
138,0.0921,76,69,0.0469,64,61,0.0652,46,43,0.0,9,9,0.0,4,4,0.0,6,6,0.5,18,9,69
140,0.0921,76,69,0.0625,64,60,0.0652,46,43,0.0,9,9,0.0,4,4,0.0,6,6,0.5,18,9,70
142,0.0921,76,69,0.0625,64,60,0.0652,46,43,0.0,9,9,0.0,4,4,0.0,6,6,0.5,18,9,71
144,0.0921,76,69,0.0625,64,60,0.0652,46,43,0.0,9,9,0.0,4,4,0.0,6,6,0.5,18,9,72
146,0.1053,76,68,0.0625,64,60,0.0652,46,43,0.1111,9,8,0.0,4,4,0.0,6,6,0.5,18,9,73
148,0.1053,76,68,0.0625,64,60,0.087,46,42,0.2222,9,7,0.0,4,4,0.0,6,6,0.5556,18,8,74
150,0.1053,76,68,0.0625,64,60,0.087,46,42,0.2222,9,7,0.0,4,4,0.0,6,6,0.5556,18,8,75
152,0.1316,76,66,0.0625,64,60,0.087,46,42,0.2222,9,7,0.0,4,4,0.0,6,6,0.5556,18,8,76
154,0.1447,76,65,0.0625,64,60,0.1087,46,41,0.3333,9,6,0.0,4,4,0.0,6,6,0.5556,18,8,77
156,0.1447,76,65,0.0625,64,60,0.1087,46,41,0.3333,9,6,0.0,4,4,0.0,6,6,0.5556,18,8,78
158,0.1447,76,65,0.0625,64,60,0.1087,46,41,0.3333,9,6,0.0,4,4,0.0,6,6,0.5556,18,8,79
160,0.1711,76,63,0.0625,64,60,0.1087,46,41,0.3333,9,6,0.0,4,4,0.0,6,6,0.5556,18,8,80
162,0.1842,76,62,0.0781,64,59,0.1087,46,41,0.3333,9,6,0.0,4,4,0.0,6,6,0.5556,18,8,81
164,0.1842,76,62,0.0781,64,59,0.1087,46,41,0.3333,9,6,0.0,4,4,0.0,6,6,0.5556,18,8,82
166,0.1842,76,62,0.0938,64,58,0.1304,46,40,0.3333,9,6,0.0,4,4,0.0,6,6,0.5556,18,8,83
168,0.1974,76,61,0.0938,64,58,0.1304,46,40,0.3333,9,6,0.0,4,4,0.0,6,6,0.5556,18,8,84
170,0.2105,76,60,0.1094,64,57,0.1304,46,40,0.4444,9,5,0.0,4,4,0.0,6,6,0.5556,18,8,85
172,0.2105,76,60,0.125,64,56,0.1522,46,39,0.4444,9,5,0.0,4,4,0.0,6,6,0.5556,18,8,86
174,0.2105,76,60,0.1562,64,54,0.1522,46,39,0.4444,9,5,0.0,4,4,0.0,6,6,0.5556,18,8,87
176,0.2237,76,59,0.1562,64,54,0.1957,46,37,0.4444,9,5,0.0,4,4,0.0,6,6,0.5556,18,8,88
178,0.2237,76,59,0.1562,64,54,0.2174,46,36,0.4444,9,5,0.0,4,4,0.0,6,6,0.5556,18,8,89
180,0.2368,76,58,0.1562,64,54,0.2609,46,34,0.4444,9,5,0.0,4,4,0.0,6,6,0.5556,18,8,90
182,0.2368,76,58,0.1562,64,54,0.2609,46,34,0.4444,9,5,0.0,4,4,0.0,6,6,0.5556,18,8,91
184,0.25,76,57,0.1719,64,53,0.2609,46,34,0.4444,9,5,0.0,4,4,0.0,6,6,0.5556,18,8,92
186,0.25,76,57,0.2031,64,51,0.2826,46,33,0.4444,9,5,0.0,4,4,0.0,6,6,0.6111,18,7,93
188,0.25,76,57,0.2188,64,50,0.3043,46,32,0.4444,9,5,0.0,4,4,0.0,6,6,0.6111,18,7,94
190,0.25,76,57,0.2188,64,50,0.3043,46,32,0.4444,9,5,0.0,4,4,0.0,6,6,0.6111,18,7,95
192,0.25,76,57,0.2188,64,50,0.3043,46,32,0.4444,9,5,0.0,4,4,0.0,6,6,0.6111,18,7,96
194,0.25,76,57,0.2188,64,50,0.3261,46,31,0.4444,9,5,0.0,4,4,0.0,6,6,0.6111,18,7,97
196,0.2763,76,55,0.2188,64,50,0.3261,46,31,0.5556,9,4,0.0,4,4,0.0,6,6,0.6111,18,7,98
198,0.2763,76,55,0.2344,64,49,0.3478,46,30,0.5556,9,4,0.0,4,4,0.0,6,6,0.6111,18,7,99
200,0.2763,76,55,0.2656,64,47,0.3478,46,30,0.5556,9,4,0.0,4,4,0.0,6,6,0.6111,18,7,100
202,0.2763,76,55,0.2812,64,46,0.3478,46,30,0.5556,9,4,0.0,4,4,0.0,6,6,0.6111,18,7,101
204,0.2763,76,55,0.2812,64,46,0.3478,46,30,0.5556,9,4,0.0,4,4,0.0,6,6,0.6667,18,6,102
206,0.2895,76,54,0.2969,64,45,0.3478,46,30,0.5556,9,4,0.0,4,4,0.0,6,6,0.6667,18,6,103
208,0.2895,76,54,0.2969,64,45,0.3478,46,30,0.5556,9,4,0.0,4,4,0.0,6,6,0.6667,18,6,104
210,0.3026,76,53,0.2969,64,45,0.3478,46,30,0.5556,9,4,0.0,4,4,0.0,6,6,0.6667,18,6,105
212,0.3158,76,52,0.3281,64,43,0.3478,46,30,0.5556,9,4,0.0,4,4,0.0,6,6,0.6667,18,6,106
214,0.3158,76,52,0.3594,64,41,0.3478,46,30,0.5556,9,4,0.0,4,4,0.0,6,6,0.6667,18,6,107
216,0.3158,76,52,0.3594,64,41,0.3478,46,30,0.5556,9,4,0.0,4,4,0.0,6,6,0.6667,18,6,108
218,0.3158,76,52,0.375,64,40,0.3478,46,30,0.5556,9,4,0.0,4,4,0.0,6,6,0.6667,18,6,109
220,0.3158,76,52,0.375,64,40,0.3696,46,29,0.6667,9,3,0.0,4,4,0.1667,6,5,0.6667,18,6,110
222,0.3289,76,51,0.375,64,40,0.3696,46,29,0.6667,9,3,0.0,4,4,0.1667,6,5,0.6667,18,6,111
224,0.3421,76,50,0.375,64,40,0.3696,46,29,0.6667,9,3,0.0,4,4,0.1667,6,5,0.6667,18,6,112
226,0.3553,76,49,0.3906,64,39,0.3913,46,28,0.6667,9,3,0.0,4,4,0.1667,6,5,0.6667,18,6,113
228,0.3684,76,48,0.3906,64,39,0.3913,46,28,0.6667,9,3,0.0,4,4,0.1667,6,5,0.6667,18,6,114
230,0.3684,76,48,0.3906,64,39,0.4565,46,25,0.6667,9,3,0.0,4,4,0.1667,6,5,0.6667,18,6,115
232,0.3684,76,48,0.3906,64,39,0.4565,46,25,0.6667,9,3,0.0,4,4,0.1667,6,5,0.6667,18,6,116
234,0.3684,76,48,0.4062,64,38,0.4565,46,25,0.6667,9,3,0.0,4,4,0.1667,6,5,0.6667,18,6,117
236,0.3684,76,48,0.4219,64,37,0.4565,46,25,0.6667,9,3,0.0,4,4,0.1667,6,5,0.6667,18,6,118
238,0.3684,76,48,0.4219,64,37,0.4565,46,25,0.6667,9,3,0.0,4,4,0.1667,6,5,0.6667,18,6,119
240,0.3816,76,47,0.4219,64,37,0.4565,46,25,0.6667,9,3,0.0,4,4,0.1667,6,5,0.6667,18,6,120
242,0.3816,76,47,0.4219,64,37,0.4565,46,25,0.6667,9,3,0.0,4,4,0.1667,6,5,0.6667,18,6,121
244,0.3947,76,46,0.4219,64,37,0.4565,46,25,0.6667,9,3,0.0,4,4,0.1667,6,5,0.6667,18,6,122
246,0.3947,76,46,0.4219,64,37,0.4565,46,25,0.6667,9,3,0.0,4,4,0.1667,6,5,0.6667,18,6,123
248,0.3947,76,46,0.4375,64,36,0.4565,46,25,0.6667,9,3,0.0,4,4,0.1667,6,5,0.6667,18,6,124
250,0.3947,76,46,0.4531,64,35,0.4565,46,25,0.6667,9,3,0.0,4,4,0.1667,6,5,0.6667,18,6,125
252,0.3947,76,46,0.4531,64,35,0.4565,46,25,0.6667,9,3,0.0,4,4,0.1667,6,5,0.6667,18,6,126
254,0.3947,76,46,0.4531,64,35,0.5,46,23,0.7778,9,2,0.0,4,4,0.1667,6,5,0.6667,18,6,127
256,0.3947,76,46,0.4531,64,35,0.5,46,23,0.7778,9,2,0.0,4,4,0.1667,6,5,0.6667,18,6,128
258,0.3947,76,46,0.4531,64,35,0.5435,46,21,0.7778,9,2,0.0,4,4,0.1667,6,5,0.6667,18,6,129
260,0.3947,76,46,0.4688,64,34,0.5435,46,21,0.7778,9,2,0.0,4,4,0.1667,6,5,0.6667,18,6,130
262,0.4079,76,45,0.4688,64,34,0.5435,46,21,0.7778,9,2,0.0,4,4,0.1667,6,5,0.6667,18,6,131
264,0.4079,76,45,0.4688,64,34,0.5435,46,21,0.7778,9,2,0.0,4,4,0.1667,6,5,0.6667,18,6,132
266,0.4079,76,45,0.4688,64,34,0.5435,46,21,0.7778,9,2,0.0,4,4,0.1667,6,5,0.6667,18,6,133
268,0.4211,76,44,0.4688,64,34,0.5435,46,21,0.7778,9,2,0.0,4,4,0.1667,6,5,0.6667,18,6,134
270,0.4211,76,44,0.4688,64,34,0.5435,46,21,0.7778,9,2,0.0,4,4,0.1667,6,5,0.6667,18,6,135
272,0.4211,76,44,0.4688,64,34,0.5435,46,21,0.7778,9,2,0.0,4,4,0.1667,6,5,0.6667,18,6,136
274,0.4211,76,44,0.4688,64,34,0.5435,46,21,0.7778,9,2,0.0,4,4,0.1667,6,5,0.6667,18,6,137
276,0.4211,76,44,0.4688,64,34,0.5652,46,20,0.7778,9,2,0.0,4,4,0.1667,6,5,0.7222,18,5,138
278,0.4211,76,44,0.4688,64,34,0.5652,46,20,0.7778,9,2,0.0,4,4,0.1667,6,5,0.7222,18,5,139
280,0.4211,76,44,0.4688,64,34,0.5652,46,20,0.7778,9,2,0.0,4,4,0.1667,6,5,0.7222,18,5,140
