Time_sec,Sickled_fraction_percent (%)
0.0,0.3154574132492094
0.5,0.3154574132492094
1.0,0.3154574132492094
1.5,0.3154574132492094
2.0,0.3154574132492094
2.5,0.3154574132492094
3.0,0.3154574132492094
3.5,0.6309148264984188
4.0,1.2618296529968487
4.5,1.3669821240799185
5.0,1.3669821240799185
5.5,1.3669821240799185
6.0,1.3669821240799185
6.5,1.3669821240799185
7.0,1.3669821240799185
7.5,1.3669821240799185
8.0,1.3669821240799185
8.5,1.3669821240799185
9.0,1.3669821240799185
9.5,1.3669821240799185
10.0,1.577287066246058
10.5,1.577287066246058
11.0,1.577287066246058
11.5,1.577287066246058
12.0,1.577287066246058
12.5,1.577287066246058
13.0,1.577287066246058
13.5,1.577287066246058
14.0,1.577287066246058
14.5,1.7875920084121977
15.0,1.7875920084121977
15.5,1.7875920084121977
16.0,1.7875920084121977
16.5,1.7875920084121977
17.0,1.7875920084121977
17.5,1.7875920084121977
18.0,1.7875920084121977
18.5,1.7875920084121977
19.0,1.7875920084121977
19.5,1.7875920084121977
20.0,1.9978969505783373
20.5,4.100946372239744
21.0,4.416403785488954
21.5,4.521556256572035
22.0,4.626708727655105
22.5,4.626708727655105
23.0,4.731861198738175
23.5,4.731861198738175
24.0,5.047318611987384
24.5,5.152471083070454
25.0,5.3627760252365935
25.5,5.467928496319663
26.0,5.8885383806519425
26.5,6.098843322818082
27.0,6.414300736067302
27.5,6.624605678233442
28.0,7.045215562565721
28.5,7.045215562565721
29.0,7.36067297581493
29.5,7.36067297581493
30.0,7.465825446898
30.5,7.67613038906414
31.0,8.2018927444795
31.5,8.412197686645639
32.0,8.727655099894848
32.5,8.727655099894848
33.0,9.148264984227128
33.5,9.253417455310197
34.0,9.674027339642477
34.5,10.199789695057838
35.0,10.830704521556257
35.5,10.935856992639327
36.0,11.356466876971606
36.5,11.671924290220826
37.0,11.882229232386965
37.5,12.197686645636175
38.0,12.828601472134594
38.5,13.880126182965302
39.0,14.195583596214512
39.5,14.511041009463721
40.0,15.03680336487907
40.5,15.35226077812829
41.0,15.6677181913775
41.5,16.19348054679285
42.0,16.508937960042058
42.5,17.034700315457417
43.0,17.875920084121976
43.5,18.717139852786534
44.0,19.873817034700313
44.5,20.189274447949522
45.0,20.820189274447955
45.5,21.030494216614095
46.0,21.871713985278653
46.5,22.607781282860152
47.0,23.34384858044164
47.5,23.86961093585699
48.0,23.97476340694006
48.5,24.71083070452156
49.0,25.552050473186117
49.5,26.498422712933756
50.0,27.129337539432175
50.5,27.760252365930604
51.0,28.286014721345953
51.5,28.811777076761302
52.0,28.916929547844372
52.5,29.65299684542587
53.0,30.49421661409043
53.5,31.12513144058885
54.0,31.65089379600421
54.5,31.756046267087278
55.0,32.28180862250263
55.5,33.123028391167196
56.0,33.543638275499475
56.5,34.384858044164034
57.0,34.80546792849631
57.5,35.96214511041009
58.0,36.277602523659304
58.5,36.90851735015773
59.0,37.22397476340694
59.5,37.64458464773922
60.0,38.17034700315457
60.5,38.69610935856993
61.0,39.01156677181914
61.5,39.327024185068346
62.0,39.957939011566765
62.5,40.168243953732905
63.0,40.694006309148264
63.5,41.00946372239748
64.0,41.32492113564668
64.5,41.850683491062036
65.0,42.06098843322819
65.5,42.48159831756047
66.0,42.797055730809674
66.5,43.32281808622503
67.0,43.84858044164039
67.5,44.058885383806526
68.0,44.058885383806526
68.5,44.269190325972666
69.0,44.689800210304945
69.5,44.79495268138801
70.0,45.320715036803364
70.5,45.95162986330179
71.0,46.47739221871714
71.5,47.00315457413249
72.0,47.21345951629863
72.5,47.3186119873817
73.0,47.52891692954785
73.5,47.73922187171399
74.0,47.84437434279706
74.5,48.159831756046266
75.0,48.89589905362776
75.5,49.001051524710824
76.0,49.526813880126184
76.5,49.737118822292324
77.0,50.05257623554154
77.5,50.262881177707676
78.0,50.57833859095688
78.5,50.683491062039955
79.0,50.683491062039955
79.5,50.99894847528916
80.0,51.314405888538374
80.5,51.52471083070452
81.0,51.73501577287066
81.5,52.05047318611987
82.0,52.365930599369094
82.5,52.57623554153523
83.0,52.89169295478444
83.5,52.99684542586751
84.0,53.20715036803365
84.5,53.41745531019979
85.0,53.62776025236593
85.5,53.83806519453207
86.0,54.04837013669821
86.5,54.25867507886435
87.0,54.363827549947416
87.5,54.363827549947416
88.0,54.46898002103049
88.5,54.67928496319663
89.0,54.67928496319663
89.5,54.67928496319663
90.0,54.67928496319663
90.5,55.099894847528915
91.0,55.20504731861199
91.5,55.20504731861199
92.0,55.310199789695055
92.5,55.310199789695055
