Criterion,Count,MeanScore,MedianScore,StdScore,MinScore,MaxScore,FractionStable,FractionHighChange,ChangeThreshold
Probability,1594,0.036120887558294956,0.023337386548519135,0.04602484784903335,2.5257468223571777e-05,0.5939263105392456,0.5834378920953576,0.41656210790464243,0.03
Shape,1551,0.016740698197313587,0.012515845708549023,0.02293908600208884,0.0,0.3179280757904053,0.9065119277885235,0.09348807221147647,0.03
TextureIntensity,1619,0.004638760497763642,0.004139058291912079,0.0028949254126150116,0.0009570320544298738,0.04631581902503967,0.9981470043236566,0.0018529956763434219,0.03
Combined,1619,0.021383205038957145,0.015512733493233101,0.024585730037292523,0.0007848329842090607,0.31107039061876446,0.820259419394688,0.17974058060531192,0.03
