group,threshold,n,accuracy
Overall,0.5,2698,0.9877687175685693
A,0.5,1322,1.0
B,0.5,632,0.9968354430379747
C,0.5,242,0.9917355371900827
D,0.5,85,0.8352941176470589
E,0.5,46,0.9130434782608695
F,0.5,162,0.9876543209876543
G,0.5,209,0.9569377990430622
