group,threshold,tn,fp,fn,tp,n,accuracy,precision,recall,specificity
Overall,0.5,1382,7,26,1283,2698,0.9877687175685693,0.9945736434108527,0.9801375095492743,0.9949604031677466
A,0.5,730,0,0,592,1322,1.0,1.0,1.0,1.0
B,0.5,301,1,1,329,632,0.9968354430379747,0.996969696969697,0.996969696969697,0.9966887417218543
C,0.5,102,0,2,138,242,0.9917355371900827,1.0,0.9857142857142858,1.0
D,0.5,22,1,13,49,85,0.8352941176470589,0.98,0.7903225806451613,0.9565217391304348
E,0.5,36,2,2,6,46,0.9130434782608695,0.75,0.75,0.9473684210526315
F,0.5,125,0,2,35,162,0.9876543209876543,1.0,0.9459459459459459,1.0
G,0.5,66,3,6,134,209,0.9569377990430622,0.9781021897810219,0.9571428571428572,0.9565217391304348
