CellID,Subtype,StartFrame,EndFrame,StartTimeSec,EndTimeSec,DurationSec,CompletionStatus,MeanChangeScore,StableFramesRequired,ChangeThreshold,MinDurationSec,EndpointSubtypeProb
2.0,semi_sickled,376,377.0,94.0,94.25,0.25,completed,0.025670500254879394,6,0.05,0,0.8383928537368774
4.0,final_sickled,174,175.0,43.5,43.75,0.25,completed,0.011337755160639063,6,0.05,0,0.9718335270881653
5.0,semi_sickled,151,152.0,37.75,38.0,0.25,completed,0.008720934637434159,6,0.05,0,0.6817356944084167
6.0,semi_sickled,109,114.0,27.25,28.5,1.25,completed,0.03036677264957688,6,0.05,0,0.7304282784461975
7.0,semi_sickled,473,474.0,118.25,118.5,0.25,completed,0.012804043671050562,6,0.05,0,0.9418861269950867
9.0,semi_sickled,236,237.0,59.0,59.25,0.25,completed,0.012907119179241514,6,0.05,0,0.640991747379303
11.0,semi_sickled,228,229.0,57.0,57.25,0.25,completed,0.020706977873730163,6,0.05,0,0.5067051649093628
12.0,final_sickled,213,214.0,53.25,53.5,0.25,completed,0.0169061612978112,6,0.05,0,0.9001150131225586
13.0,semi_sickled,370,374.0,92.5,93.5,1.0,completed,0.02727772268796495,6,0.05,0,0.7255265116691589
14.0,semi_sickled,323,324.0,80.75,81.0,0.25,completed,0.011198974083041928,6,0.05,0,0.6643306016921997
15.0,final_sickled,55,56.0,13.75,14.0,0.25,completed,0.018052161044518775,6,0.05,0,0.8663363456726074
19.0,semi_sickled,320,321.0,80.0,80.25,0.25,completed,0.02373862496072737,6,0.05,0,0.6512542366981506
21.0,final_sickled,193,197.0,48.25,49.25,1.0,completed,0.018085085993740133,6,0.05,0,0.5768303275108337
23.0,final_sickled,103,104.0,25.75,26.0,0.25,completed,0.009464441195693021,6,0.05,0,0.8515459895133972
25.0,semi_sickled,188,189.0,47.0,47.25,0.25,completed,0.026203072412075323,6,0.05,0,0.5270358920097351
27.0,final_sickled,284,285.0,71.0,71.25,0.25,completed,0.010451715416274966,6,0.05,0,0.9332660436630249
28.0,final_sickled,155,156.0,38.75,39.0,0.25,completed,0.015141524288143651,6,0.05,0,0.6946551203727722
30.0,final_sickled,478,,119.5,,,not_completed,0.01788091730559245,6,0.05,0,0.8505121469497681
31.0,final_sickled,215,216.0,53.75,54.0,0.25,completed,0.010009618075855542,6,0.05,0,0.6622825860977173
33.0,semi_sickled,234,240.0,58.5,60.0,1.5,completed,0.023307094696528193,6,0.05,0,0.5951128602027893
34.0,final_sickled,177,178.0,44.25,44.5,0.25,completed,0.015782523616508115,6,0.05,0,0.8477322459220886
35.0,final_sickled,143,144.0,35.75,36.0,0.25,completed,0.008360953033358478,6,0.05,0,0.9140472412109375
36.0,final_sickled,266,267.0,66.5,66.75,0.25,completed,0.009088630619226023,6,0.05,0,0.7566503286361694
37.0,final_sickled,138,139.0,34.5,34.75,0.25,completed,0.016686547803692522,6,0.05,0,0.806889533996582
38.0,semi_sickled,370,381.0,92.5,95.25,2.75,completed,0.021321629935118838,6,0.05,0,0.8561767339706421
