Time_sec,Semi_sickled_fraction_percent,Final_sickled_fraction_percent,Total_sickled_fraction_percent
0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.5,0.0,0.0,0.0
2.0,0.0,0.0,0.0
2.5,0.0,0.0,0.0
3.0,0.0,0.0,0.0
3.5,0.0,0.0,0.0
4.0,0.0,0.0,0.0
4.5,0.0,0.0,0.0
5.0,0.0,0.0,0.0
5.5,0.0,0.0,0.0
6.0,0.0,0.0,0.0
6.5,0.0,0.0,0.0
7.0,0.0,0.0,0.0
7.5,0.0,0.0,0.0
8.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0
9.0,0.0,0.0,0.0
9.5,0.0,0.0,0.0
10.0,0.0,0.0,0.0
10.5,0.0,0.0,0.0
11.0,0.0,0.0,0.0
11.5,0.0,0.0,0.0
12.0,0.0,0.0,0.0
12.5,0.0,0.0,0.0
13.0,0.0,0.0,0.0
13.5,0.0,0.0,0.0
14.0,0.0,0.0,0.0
14.5,0.0,0.0,0.0
15.0,0.0,0.42016806722689076,0.42016806722689076
15.5,0.0,0.42016806722689076,0.42016806722689076
16.0,0.0,0.42016806722689076,0.42016806722689076
16.5,0.0,0.42016806722689076,0.42016806722689076
17.0,0.0,0.42016806722689076,0.42016806722689076
17.5,0.0,0.42016806722689076,0.42016806722689076
18.0,0.0,0.42016806722689076,0.42016806722689076
18.5,0.0,0.42016806722689076,0.42016806722689076
19.0,0.0,0.42016806722689076,0.42016806722689076
19.5,0.0,0.42016806722689076,0.42016806722689076
20.0,0.0,0.42016806722689076,0.42016806722689076
20.5,0.0,0.42016806722689076,0.42016806722689076
21.0,0.0,0.42016806722689076,0.42016806722689076
21.5,0.0,0.8403361344537815,0.8403361344537815
22.0,0.0,0.8403361344537815,0.8403361344537815
22.5,0.0,1.2605042016806722,1.2605042016806722
23.0,0.0,1.2605042016806722,1.2605042016806722
23.5,0.0,1.2605042016806722,1.2605042016806722
24.0,0.0,1.2605042016806722,1.2605042016806722
24.5,0.0,2.100840336134454,2.100840336134454
25.0,0.0,2.100840336134454,2.100840336134454
25.5,0.0,2.5210084033613445,2.5210084033613445
26.0,0.0,3.7815126050420167,3.7815126050420167
26.5,0.0,3.7815126050420167,3.7815126050420167
27.0,0.0,5.042016806722689,5.042016806722689
27.5,0.0,5.042016806722689,5.042016806722689
28.0,0.0,5.88235294117647,5.88235294117647
28.5,0.42016806722689076,5.88235294117647,6.302521008403361
29.0,0.42016806722689076,6.302521008403361,6.722689075630252
29.5,0.42016806722689076,6.302521008403361,6.722689075630252
30.0,0.42016806722689076,6.722689075630252,7.142857142857142
30.5,0.42016806722689076,7.142857142857142,7.563025210084033
31.0,0.42016806722689076,7.142857142857142,7.563025210084033
31.5,0.8403361344537815,7.563025210084033,8.403361344537815
32.0,0.8403361344537815,7.563025210084033,8.403361344537815
32.5,0.8403361344537815,7.9831932773109235,8.823529411764707
33.0,0.8403361344537815,7.9831932773109235,8.823529411764707
33.5,0.8403361344537815,7.9831932773109235,8.823529411764707
34.0,0.8403361344537815,8.823529411764707,9.663865546218489
34.5,0.8403361344537815,9.243697478991598,10.084033613445378
35.0,0.8403361344537815,9.663865546218489,10.504201680672269
35.5,0.8403361344537815,10.92436974789916,11.76470588235294
36.0,0.8403361344537815,10.92436974789916,11.76470588235294
36.5,0.8403361344537815,10.92436974789916,11.76470588235294
37.0,0.8403361344537815,11.76470588235294,12.605042016806722
37.5,0.8403361344537815,11.76470588235294,12.605042016806722
38.0,0.8403361344537815,12.184873949579831,13.025210084033615
38.5,0.8403361344537815,13.445378151260504,14.285714285714285
39.0,1.2605042016806722,14.285714285714285,15.546218487394958
