FrameIndex,Frame,Class_0,Class_0_pos,Class_0_total,Class_1,Class_1_pos,Class_1_total,Class_2,Class_2_pos,Class_2_total,Class_3,Class_3_pos,Class_3_total,Class_4,Class_4_pos,Class_4_total,Class_5,Class_5_pos,Class_5_total,Class_6,Class_6_pos,Class_6_total
40,80,0.0,390,390,0.0034482758620689724,289,290,0.0,131,131,0.0,22,22,0.0,10,10,0.0,28,28,0.012499999999999956,79,80
41,82,0.0,390,390,0.0034482758620689724,289,290,0.0,131,131,0.0,22,22,0.0,10,10,0.0,28,28,0.012499999999999956,79,80
42,84,0.0,390,390,0.0034482758620689724,289,290,0.0,131,131,0.0,22,22,0.0,10,10,0.0,28,28,0.012499999999999956,79,80
43,86,0.002564102564102555,389,390,0.0034482758620689724,289,290,0.0,131,131,0.0,22,22,0.0,10,10,0.0,28,28,0.012499999999999956,79,80
44,88,0.002564102564102555,389,390,0.0034482758620689724,289,290,0.0,131,131,0.0,22,22,0.0,10,10,0.0,28,28,0.03749999999999998,77,80
45,90,0.002564102564102555,389,390,0.0034482758620689724,289,290,0.0,131,131,0.045454545454545414,21,22,0.0,10,10,0.0,28,28,0.03749999999999998,77,80
46,92,0.002564102564102555,389,390,0.0034482758620689724,289,290,0.0,131,131,0.045454545454545414,21,22,0.0,10,10,0.0,28,28,0.0625,75,80
47,94,0.002564102564102555,389,390,0.0034482758620689724,289,290,0.0,131,131,0.045454545454545414,21,22,0.0,10,10,0.0,28,28,0.0625,75,80
48,96,0.002564102564102555,389,390,0.0034482758620689724,289,290,0.0,131,131,0.045454545454545414,21,22,0.0,10,10,0.0,28,28,0.0625,75,80
49,98,0.00512820512820511,388,390,0.0034482758620689724,289,290,0.007633587786259555,130,131,0.045454545454545414,21,22,0.0,10,10,0.0,28,28,0.07499999999999996,74,80
50,100,0.00512820512820511,388,390,0.0034482758620689724,289,290,0.007633587786259555,130,131,0.045454545454545414,21,22,0.0,10,10,0.0,28,28,0.07499999999999996,74,80
51,102,0.007692307692307665,387,390,0.0034482758620689724,289,290,0.007633587786259555,130,131,0.045454545454545414,21,22,0.0,10,10,0.0,28,28,0.08750000000000002,73,80
52,104,0.01025641025641022,386,390,0.010344827586206917,287,290,0.007633587786259555,130,131,0.045454545454545414,21,22,0.09999999999999998,9,10,0.0,28,28,0.11250000000000004,71,80
53,106,0.01025641025641022,386,390,0.010344827586206917,287,290,0.007633587786259555,130,131,0.09090909090909094,20,22,0.09999999999999998,9,10,0.0,28,28,0.13749999999999996,69,80
54,108,0.017948717948717996,383,390,0.010344827586206917,287,290,0.01526717557251911,129,131,0.09090909090909094,20,22,0.09999999999999998,9,10,0.0,28,28,0.15000000000000002,68,80
55,110,0.017948717948717996,383,390,0.010344827586206917,287,290,0.01526717557251911,129,131,0.09090909090909094,20,22,0.09999999999999998,9,10,0.0,28,28,0.15000000000000002,68,80
56,112,0.023076923076923106,381,390,0.01379310344827589,286,290,0.022900763358778664,128,131,0.09090909090909094,20,22,0.09999999999999998,9,10,0.0,28,28,0.16249999999999998,67,80
57,114,0.02564102564102566,380,390,0.01379310344827589,286,290,0.022900763358778664,128,131,0.09090909090909094,20,22,0.09999999999999998,9,10,0.0,28,28,0.17500000000000004,66,80
58,116,0.028205128205128216,379,390,0.01379310344827589,286,290,0.022900763358778664,128,131,0.09090909090909094,20,22,0.09999999999999998,9,10,0.0,28,28,0.1875,65,80
59,118,0.028205128205128216,379,390,0.01379310344827589,286,290,0.022900763358778664,128,131,0.09090909090909094,20,22,0.09999999999999998,9,10,0.0,28,28,0.19999999999999996,64,80
60,120,0.03589743589743588,376,390,0.01379310344827589,286,290,0.022900763358778664,128,131,0.09090909090909094,20,22,0.09999999999999998,9,10,0.0,28,28,0.22499999999999998,62,80
61,122,0.038461538461538436,375,390,0.01379310344827589,286,290,0.022900763358778664,128,131,0.09090909090909094,20,22,0.09999999999999998,9,10,0.0,28,28,0.22499999999999998,62,80
62,124,0.038461538461538436,375,390,0.01379310344827589,286,290,0.022900763358778664,128,131,0.09090909090909094,20,22,0.09999999999999998,9,10,0.0,28,28,0.23750000000000004,61,80
63,126,0.04102564102564099,374,390,0.01379310344827589,286,290,0.03053435114503822,127,131,0.09090909090909094,20,22,0.09999999999999998,9,10,0.0,28,28,0.26249999999999996,59,80
64,128,0.043589743589743546,373,390,0.01379310344827589,286,290,0.03053435114503822,127,131,0.09090909090909094,20,22,0.09999999999999998,9,10,0.0,28,28,0.275,58,80
65,130,0.043589743589743546,373,390,0.017241379310344862,285,290,0.03053435114503822,127,131,0.13636363636363635,19,22,0.09999999999999998,9,10,0.0,28,28,0.275,58,80
66,132,0.05128205128205132,370,390,0.017241379310344862,285,290,0.03053435114503822,127,131,0.13636363636363635,19,22,0.09999999999999998,9,10,0.0,28,28,0.275,58,80
67,134,0.05384615384615388,369,390,0.017241379310344862,285,290,0.03816793893129766,126,131,0.13636363636363635,19,22,0.09999999999999998,9,10,0.0,28,28,0.275,58,80
68,136,0.05641025641025643,368,390,0.020689655172413834,284,290,0.03816793893129766,126,131,0.13636363636363635,19,22,0.09999999999999998,9,10,0.0,28,28,0.30000000000000004,56,80
69,138,0.05897435897435899,367,390,0.03103448275862064,281,290,0.03816793893129766,126,131,0.13636363636363635,19,22,0.09999999999999998,9,10,0.0,28,28,0.30000000000000004,56,80
70,140,0.06153846153846154,366,390,0.03448275862068961,280,290,0.03816793893129766,126,131,0.13636363636363635,19,22,0.09999999999999998,9,10,0.0,28,28,0.30000000000000004,56,80
