Time_sec,Sickled_fraction_percent (%)
0.0,0.3154574132492094
0.5,0.3154574132492094
1.0,0.3154574132492094
1.5,0.3154574132492094
2.0,0.3154574132492094
2.5,0.3154574132492094
3.0,0.3154574132492094
3.5,0.6309148264984188
4.0,1.3669821240799185
4.5,1.3669821240799185
5.0,1.3669821240799185
5.5,1.3669821240799185
6.0,1.3669821240799185
6.5,1.3669821240799185
7.0,1.3669821240799185
7.5,1.3669821240799185
8.0,1.3669821240799185
8.5,1.3669821240799185
9.0,1.3669821240799185
9.5,1.3669821240799185
10.0,1.577287066246058
10.5,1.577287066246058
11.0,1.577287066246058
11.5,1.577287066246058
12.0,1.577287066246058
12.5,1.577287066246058
13.0,1.577287066246058
13.5,1.577287066246058
14.0,1.6824395373291279
14.5,1.8927444794952675
15.0,1.8927444794952675
15.5,1.8927444794952675
16.0,1.8927444794952675
16.5,1.8927444794952675
17.0,1.8927444794952675
17.5,1.8927444794952675
18.0,1.8927444794952675
18.5,1.8927444794952675
19.0,1.8927444794952675
19.5,1.8927444794952675
20.0,2.103049421661407
20.5,4.206098843322814
21.0,4.521556256572035
21.5,4.626708727655105
22.0,4.731861198738175
22.5,4.8370136698212445
23.0,4.942166140904314
23.5,4.942166140904314
24.0,5.152471083070454
24.5,5.257623554153524
25.0,5.467928496319663
25.5,5.573080967402733
26.0,5.993690851735012
26.5,6.309148264984232
27.0,6.624605678233442
27.5,6.834910620399581
28.0,7.150368033648791
28.5,7.150368033648791
29.0,7.465825446898
29.5,7.465825446898
30.0,7.57097791798107
30.5,7.7812828601472095
31.0,8.30704521556257
31.5,8.622502628811779
32.0,8.937960042060988
32.5,8.937960042060988
33.0,9.253417455310197
33.5,9.358569926393267
34.0,9.779179810725546
34.5,10.304942166140908
35.0,10.935856992639327
35.5,11.041009463722396
36.0,11.461619348054676
36.5,11.882229232386965
37.0,12.197686645636175
37.5,12.513144058885384
38.0,13.038906414300733
38.5,14.090431125131442
39.0,14.405888538380651
39.5,14.72134595162986
40.0,15.24710830704522
40.5,15.56256572029443
41.0,15.878023133543639
41.5,16.29863301787592
42.0,16.614090431125128
42.5,17.139852786540487
43.0,17.981072555205046
43.5,18.717139852786534
44.0,19.873817034700313
44.5,20.189274447949522
45.0,20.820189274447955
45.5,21.030494216614095
46.0,21.871713985278653
46.5,22.607781282860152
47.0,23.34384858044164
47.5,23.86961093585699
48.0,23.97476340694006
48.5,24.71083070452156
49.0,25.657202944269187
49.5,26.603575184016826
50.0,27.234490010515245
50.5,27.865404837013674
51.0,28.391167192429023
51.5,28.916929547844372
52.0,29.022082018927442
52.5,29.75814931650894
53.0,30.5993690851735
53.5,31.12513144058885
54.0,31.65089379600421
54.5,31.756046267087278
55.0,32.3869610935857
55.5,33.22818086225027
56.0,33.64879074658255
56.5,34.49001051524711
57.0,34.91062039957939
57.5,36.067297581493165
58.0,36.38275499474237
58.5,37.0136698212408
59.0,37.32912723449001
59.5,37.74973711882229
60.0,38.17034700315457
60.5,38.69610935856993
61.0,39.01156677181914
61.5,39.327024185068346
62.0,39.957939011566765
62.5,40.273396424815985
63.0,40.79915878023134
63.5,41.21976866456362
64.0,41.430073606729756
64.5,41.9558359621451
65.0,42.166140904311256
65.5,42.586750788643535
66.0,42.90220820189275
66.5,43.42797055730809
67.0,43.95373291272345
67.5,44.16403785488959
68.0,44.16403785488959
68.5,44.479495268138805
69.0,44.900105152471085
69.5,45.00525762355415
70.0,45.5310199789695
70.5,46.05678233438486
71.0,46.58254468980021
71.5,47.10830704521556
72.0,47.3186119873817
72.5,47.42376445846478
73.0,47.63406940063092
73.5,47.84437434279706
74.0,47.94952681388013
74.5,48.26498422712934
75.0,48.89589905362776
75.5,49.001051524710824
76.0,49.63196635120926
76.5,49.8422712933754
77.0,50.1577287066246
77.5,50.36803364879074
78.0,50.57833859095688
78.5,50.683491062039955
79.0,50.683491062039955
79.5,50.99894847528916
80.0,51.314405888538374
80.5,51.52471083070452
81.0,51.73501577287066
81.5,52.05047318611987
82.0,52.365930599369094
82.5,52.57623554153523
83.0,52.89169295478444
83.5,52.99684542586751
84.0,53.20715036803365
84.5,53.41745531019979
85.0,53.732912723449
85.5,53.94321766561514
86.0,54.04837013669821
86.5,54.25867507886435
87.0,54.363827549947416
87.5,54.46898002103049
88.0,54.574132492113556
88.5,54.67928496319663
89.0,54.67928496319663
89.5,54.67928496319663
90.0,54.67928496319663
90.5,55.099894847528915
91.0,55.20504731861199
91.5,55.20504731861199
92.0,55.310199789695055
92.5,55.310199789695055
